Rep,Temp,Weeks,Samples,Mortality,Metamorphosized,Edema,Tail.kink
2,22,7,24,0,0,0,0
2,22,8,24,0,0,0,0
2,22,9,24,0,0,0,0
2,22,10,24,0,0,0,0
2,22,11,24,0,0,0,0
2,22,12,24,0,0,0,0
2,22,13,24,0,0,0,0
2,22,14,24,0,0,0,0
2,22,15,24,0,0,0,0
2,22,16,24,0,4,0,0
2,22,17,24,0,1,0,0
2,22,18,24,0,4,0,0
2,22,19,24,0,3,0,0
2,22,20,24,0,5,0,0
2,22,21,24,0,3,0,0
2,22,22,24,0,0,0,0
2,22,23,24,0,4,0,0
2,22,24,24,0,0,0,0
3,22,1,25,0,0,0,0
3,22,2,25,0,0,0,0
3,22,3,25,0,0,0,0
3,22,4,25,0,0,0,0
3,22,5,25,0,0,0,0
3,22,6,25,0,0,0,0
3,22,7,25,0,0,0,0
3,22,8,25,0,0,0,0
3,22,9,25,0,0,0,0
3,22,10,25,0,0,0,0
3,22,11,25,0,0,0,0
3,22,12,25,0,0,0,0
3,22,13,25,0,0,0,0
3,22,14,25,0,0,0,0
3,22,15,25,0,0,0,0
3,22,16,24,1,2,0,0
3,22,17,24,0,6,0,0
3,22,18,24,0,5,0,0
3,22,19,24,0,5,0,0
3,22,20,24,0,2,0,0
3,22,21,24,0,0,0,0
3,22,22,24,0,0,0,0
3,22,23,24,0,4,0,0
3,22,24,24,0,0,0,0
4,22,1,24,1,0,0,0
4,22,2,24,0,0,0,0
4,22,3,24,0,0,0,0
4,22,4,24,0,0,0,0
4,22,5,24,0,0,0,0
4,22,6,24,0,0,0,0
4,22,7,24,0,0,0,0
4,22,8,24,0,0,0,0
4,22,9,24,0,0,0,0
4,22,10,24,0,0,0,0
4,22,11,24,0,0,0,0
4,22,12,24,0,0,0,0
4,22,13,24,0,0,0,0
4,22,14,24,0,0,0,0
4,22,15,24,0,0,0,0
4,22,16,24,0,4,0,0
4,22,17,24,0,4,0,0
4,22,18,24,0,8,0,0
4,22,19,24,0,2,0,0
4,22,20,24,0,5,0,0
4,22,21,24,0,0,0,0
4,22,22,24,0,0,0,0
4,22,23,24,0,1,0,0
4,22,24,24,0,0,0,0
1,24,1,24,1,0,0,0
1,24,2,24,0,0,0,0
1,24,3,24,0,0,0,0
1,24,4,24,0,0,0,0
1,24,5,23,1,0,0,0
1,24,6,23,0,0,0,0
1,24,7,23,0,0,0,0
1,24,8,23,0,0,0,0
1,24,9,22,1,0,0,0
1,24,10,22,0,0,0,0
1,24,11,22,0,0,0,0
1,24,12,22,0,0,0,0
1,24,13,21,1,0,0,0
1,24,14,21,0,1,1,0
1,24,15,21,0,2,0,0
1,24,16,21,0,3,0,0
1,24,17,21,0,6,0,1
1,24,18,21,0,2,0,0
1,24,19,21,0,1,0,0
1,24,20,21,0,6,0,0
1,24,21,21,0,0,0,0
1,24,22,21,0,0,0,0
1,24,23,21,0,0,0,0
1,24,24,21,0,0,0,0
2,24,1,23,2,0,0,0
2,24,2,23,0,0,0,0
2,24,3,23,0,0,0,0
2,24,4,23,0,0,0,0
2,24,5,23,0,0,0,0
2,24,6,23,0,0,0,0
2,24,7,23,0,0,0,0
2,24,8,23,0,0,0,0
2,24,9,22,1,0,0,0
2,24,10,22,0,0,0,0
2,24,11,22,0,0,0,0
2,24,12,22,0,0,0,0
2,24,13,22,0,0,0,0
2,24,14,22,0,1,0,1
2,24,15,22,0,3,2,0
2,24,16,22,0,1,0,0
2,24,17,22,0,8,0,1
2,24,18,22,0,2,0,0
2,24,19,22,0,1,0,0
2,24,20,22,0,5,0,0
2,24,21,22,0,0,0,0
2,24,22,22,0,0,0,0
2,24,23,21,1,0,0,0
2,24,24,21,0,0,0,0
3,24,1,22,3,0,0,0
3,24,2,22,0,0,0,0
3,24,3,22,0,0,0,0
3,24,4,22,0,0,0,0
3,24,5,22,0,0,0,0
3,24,6,22,0,0,0,0
3,24,7,22,0,0,0,0
3,24,8,22,0,0,0,0
3,24,9,22,0,0,0,0
3,24,10,22,0,0,0,0
3,24,11,22,0,0,0,0
3,24,12,22,0,0,0,2
3,24,13,22,0,0,0,1
3,24,14,22,0,2,1,1
3,24,15,22,0,4,2,0
3,24,16,22,0,5,0,1
3,24,17,22,0,7,0,3
3,24,18,21,1,3,0,0
3,24,19,21,0,0,0,0
3,24,20,21,0,0,0,0
3,24,21,21,0,0,0,0
3,24,22,21,0,0,0,0
3,24,23,21,0,0,0,0
3,24,24,21,0,0,0,0
4,24,1,25,0,0,0,0
4,24,2,25,0,0,0,0
4,24,3,25,0,0,0,0
4,24,4,25,0,0,0,0
4,24,5,25,0,0,0,0
4,24,6,25,0,0,0,0
4,24,7,25,0,0,0,0
4,24,8,24,1,0,0,0
4,24,9,23,2,0,0,0
4,24,10,23,0,0,0,0
4,24,11,23,0,0,0,0
4,24,12,23,0,0,0,0
4,24,13,23,0,0,0,0
4,24,14,23,0,1,1,0
4,24,15,23,0,5,2,1
4,24,16,23,0,4,2,0
4,24,17,23,0,6,0,1
4,24,18,23,0,1,0,0
4,24,19,23,0,3,0,0
4,24,20,23,0,2,0,0
4,24,21,23,0,0,0,0
4,24,22,23,0,0,0,0
4,24,23,23,0,0,0,0
4,24,24,23,0,0,0,0
1,26,1,22,3,0,0,0
1,26,2,20,2,0,0,0
1,26,3,20,0,0,0,0
1,26,4,18,2,0,0,0
1,26,5,18,0,0,0,0
1,26,6,18,0,0,0,0
1,26,7,18,0,0,0,0
1,26,8,18,0,0,0,0
1,26,9,18,0,0,0,0
1,26,10,18,0,0,0,0
1,26,11,16,2,0,0,0
1,26,12,16,0,0,0,0
1,26,13,15,1,0,2,0
1,26,14,15,0,2,0,0
1,26,15,15,0,1,1,0
1,26,16,15,0,5,0,2
1,26,17,15,0,6,0,1
1,26,18,15,0,0,0,2
1,26,19,15,0,0,0,0
1,26,20,15,0,0,0,0
1,26,21,15,0,0,0,0
1,26,22,14,1,0,0,0
1,26,23,14,0,0,0,0
1,26,24,14,0,0,0,0
2,26,1,21,4,0,0,0
2,26,2,18,3,0,0,0
2,26,3,18,0,0,0,0
2,26,4,17,1,0,0,0
2,26,5,17,0,0,0,0
2,26,6,17,0,0,0,0
2,26,7,17,0,0,0,0
2,26,8,15,2,0,0,0
2,26,9,15,0,0,0,0
2,26,10,15,0,0,0,0
2,26,11,14,1,0,0,0
2,26,12,14,0,0,1,0
2,26,13,12,2,0,1,0
2,26,14,12,0,4,3,2
2,26,15,11,1,3,2,0
2,26,16,11,0,2,0,0
2,26,17,11,0,0,0,0
2,26,18,11,0,0,4,0
2,26,19,11,0,0,0,0
2,26,20,10,1,0,0,0
2,26,21,10,0,0,0,0
2,26,22,10,0,0,0,0
2,26,23,9,1,0,0,0
2,26,24,9,0,0,0,0
3,26,1,23,2,0,0,0
3,26,2,20,3,0,0,0
3,26,3,19,1,0,0,0
3,26,4,19,0,0,0,0
3,26,5,19,0,0,0,0
3,26,6,19,0,0,0,0
3,26,7,19,0,0,0,0
3,26,8,19,0,0,0,0
3,26,9,19,0,0,0,0
3,26,10,19,0,0,0,0
3,26,11,17,2,0,0,0
3,26,12,17,0,0,3,0
3,26,13,16,1,0,1,0
3,26,14,16,0,0,1,2
3,26,15,15,1,2,2,0
3,26,16,15,0,1,0,2
3,26,17,15,0,11,0,0
3,26,18,15,0,0,0,0
3,26,19,15,0,0,0,0
3,26,20,15,0,0,0,0
3,26,21,15,0,0,0,0
3,26,22,15,0,0,0,0
3,26,23,14,1,0,0,0
3,26,24,14,0,0,0,0
4,26,1,19,6,0,0,0
4,26,2,14,5,0,0,0
4,26,3,14,0,0,0,0
4,26,4,14,0,0,0,0
4,26,5,14,0,0,0,0
4,26,6,13,1,0,0,0
4,26,7,13,0,0,0,0
4,26,8,11,2,0,0,0
4,26,9,11,0,0,0,0
4,26,10,11,0,0,0,0
4,26,11,9,2,0,0,0
4,26,12,9,0,0,0,0
4,26,13,9,0,0,2,3
4,26,14,9,0,3,0,1
4,26,15,8,1,2,0,1
4,26,16,8,0,2,0,0
4,26,17,8,0,0,0,0
4,26,18,8,0,0,0,0
4,26,19,8,0,0,0,0
4,26,20,8,0,0,0,0
4,26,21,8,0,0,0,0
4,26,22,8,0,0,0,0
4,26,23,7,1,0,0,0
4,26,24,7,0,0,0,0
